"","place","room_type","price","neighbourhood_cleansed","minimum_nights"
"203","Antwerp","Private room",182,"Borgerhout Intra Muros Zuid",1
"204","Antwerp","Entire home/apt",214,"Universiteitsbuurt",1
"205","Antwerp","Entire home/apt",249,"Historisch Centrum",2
"206","Antwerp","Entire home/apt",217,"Sint-Andries",1
"207","Antwerp","Private room",237,"Borgerhout Intra Muros Zuid",2
"208","Antwerp","Entire home/apt",19,"Harmonie",5
"209","Antwerp","Private room",205,"Stuivenberg",3
"210","Antwerp","Private room",162,"Universiteitsbuurt",1
"211","Antwerp","Entire home/apt",286,"Linkeroever",2
"212","Antwerp","Entire home/apt",295,"Historisch Centrum",2
"213","Antwerp","Entire home/apt",256,"Amandus - Atheneum",1
"214","Antwerp","Entire home/apt",215,"Stadspark",3
"215","Antwerp","Private room",194,"Centraal Station",2
"216","Antwerp","Entire home/apt",295,"Hoogte",1
"217","Antwerp","Private room",214,"Universiteitsbuurt",1
"218","Antwerp","Entire home/apt",283,"Theaterbuurt-Meir",2
"219","Antwerp","Entire home/apt",247,"Eilandje",2
"220","Antwerp","Private room",223,"Borgerhout Intra Muros Zuid",2
"221","Antwerp","Entire home/apt",228,"Dam",3
"222","Antwerp","Private room",182,"Stuivenberg",2
"223","Antwerp","Entire home/apt",243,"Stuivenberg",2
"224","Antwerp","Entire home/apt",221,"Zuid",3
"225","Antwerp","Entire home/apt",212,"Oud - Berchem",1
"226","Antwerp","Entire home/apt",243,"Theaterbuurt-Meir",2
"227","Antwerp","Entire home/apt",283,"Zuid",2
"228","Antwerp","Entire home/apt",234,"Nieuw - Kwartier West",2
"229","Antwerp","Private room",138,"Stuivenberg",1
"230","Antwerp","Private room",214,"Borgerhout Intra Muros Zuid",2
"231","Antwerp","Private room",138,"Brederode",1
"232","Antwerp","Entire home/apt",295,"Zuid",1
"233","Antwerp","Entire home/apt",275,"Theaterbuurt-Meir",2
"234","Antwerp","Private room",151,"Universiteitsbuurt",1
"235","Antwerp","Entire home/apt",223,"Amandus - Atheneum",2
"236","Antwerp","Hotel room",175,"Oud - Berchem",1
"237","Antwerp","Private room",4,"Oud - Berchem",1
"238","Antwerp","Entire home/apt",203,"Borgerhout Intra Muros Zuid",1
"239","Antwerp","Entire home/apt",228,"Amandus - Atheneum",2
"240","Antwerp","Entire home/apt",225,"Universiteitsbuurt",2
"241","Antwerp","Private room",178,"Markgrave",2
"242","Antwerp","Private room",207,"Deurne Zuid West",1
"243","Antwerp","Entire home/apt",292,"Dam",90
"244","Antwerp","Entire home/apt",237,"Amandus - Atheneum",3
"245","Antwerp","Private room",299,"Deurne Zuid Oost",1
"246","Antwerp","Private room",212,"Oud - Berchem",1
"247","Antwerp","Entire home/apt",284,"Historisch Centrum",3
"248","Antwerp","Entire home/apt",14,"Stadspark",1
"249","Antwerp","Entire home/apt",196,"Universiteitsbuurt",1
"250","Antwerp","Entire home/apt",291,"Zuid",2
"251","Antwerp","Private room",151,"Theaterbuurt-Meir",2
"252","Antwerp","Private room",185,"Zuid",1
"253","Antwerp","Entire home/apt",243,"Borgerhout Intra Muros Noord",2
"254","Antwerp","Private room",203,"Zurenborg",1
"255","Antwerp","Entire home/apt",225,"Theaterbuurt-Meir",2
"256","Antwerp","Entire home/apt",225,"Petroleum - Zuid",3
"257","Antwerp","Private room",131,"Borgerhout Intra Muros Noord",1
"258","Antwerp","Entire home/apt",230,"Haringrode",2
"259","Antwerp","Entire home/apt",256,"Markgrave",2
"260","Antwerp","Entire home/apt",226,"Borgerhout Intra Muros Zuid",2
"261","Antwerp","Entire home/apt",246,"Centraal Station",3
"262","Antwerp","Private room",266,"Theaterbuurt-Meir",4
